phenotype	omic.name	type	set	fold	TPR	TNR	PPV	NPV
F>=2	Clinical features	 	test	0	0.73529	0.81395	0.76	0.80
F>=2	Full multi-omics	Multi-omics	test	0	0.76471	0.90476	0.87	0.83
F>=2	Gold-standard	Ref	test	0	0.76471	0.79070	0.74	0.81
F>=2	Host multi-omics	Multi-omics	test	0	0.82353	0.92857	0.90	0.87
F>=2	Plasma Cytokines	Host omics	test	0	0.81481	0.92500	0.88	0.88
F>=2	Plasma ECM Proteins	Host omics	test	0	0.63636	0.66667	0.67	0.64
F>=2	Plasma FullQ Metabolomics	Host omics	test	0	0.60606	0.84615	0.77	0.72
F>=2	Plasma Lipidomics	Host omics	test	0	0.83333	0.52174	0.65	0.75
F>=2	Plasma Metabolomics	Host omics	test	0	0.58824	0.71053	0.65	0.66
F>=2	Plasma Proteomics	Host omics	test	0	0.73529	0.88095	0.83	0.80
F>=3	Clinical features	 	test	0	0.71429	0.98413	0.91	0.94
F>=3	Full multi-omics	Multi-omics	test	0	0.92857	0.91935	0.72	0.98
F>=3	Gold-standard	Ref	test	0	1.00000	0.84127	0.58	1.00
F>=3	Host multi-omics	Multi-omics	test	0	0.85714	0.93548	0.75	0.97
F>=3	Plasma Cytokines	Host omics	test	0	0.66667	0.94545	0.73	0.93
F>=3	Plasma ECM Proteins	Host omics	test	0	0.62500	0.94118	0.71	0.91
F>=3	Plasma FullQ Metabolomics	Host omics	test	0	0.71429	0.94828	0.77	0.93
F>=3	Plasma Lipidomics	Host omics	test	0	0.55556	0.97368	0.83	0.90
F>=3	Plasma Metabolomics	Host omics	test	0	0.35714	0.98276	0.83	0.86
F>=3	Plasma Proteomics	Host omics	test	0	0.85714	0.93548	0.75	0.97
I>=2	Clinical features	 	test	0	0.87097	0.68000	0.77	0.81
I>=2	Full multi-omics	Multi-omics	test	0	0.64516	0.60000	0.67	0.58
I>=2	Gold-standard	Ref	test	0	0.70968	0.68000	0.73	0.65
I>=2	Host multi-omics	Multi-omics	test	0	0.64516	0.80000	0.80	0.65
I>=2	Plasma Cytokines	Host omics	test	0	0.75000	0.86957	0.86	0.77
I>=2	Plasma ECM Proteins	Host omics	test	0	0.78261	0.00000	0.47	0.00
I>=2	Plasma FullQ Metabolomics	Host omics	test	0	0.70000	0.48000	0.62	0.57
I>=2	Plasma Lipidomics	Host omics	test	0	0.60870	0.40909	0.52	0.50
I>=2	Plasma Metabolomics	Host omics	test	0	0.64516	0.47826	0.63	0.50
I>=2	Plasma Proteomics	Host omics	test	0	0.70968	0.88000	0.88	0.71
S>=2	Clinical features	 	test	0	0.80645	0.69231	0.76	0.75
S>=2	Full multi-omics	Multi-omics	test	0	0.67742	0.72000	0.75	0.64
S>=2	Gold-standard	Ref	test	0	0.90323	0.61538	0.74	0.84
S>=2	Host multi-omics	Multi-omics	test	0	0.74194	0.60000	0.70	0.65
S>=2	Plasma Cytokines	Host omics	test	0	0.65217	0.83333	0.79	0.71
S>=2	Plasma ECM Proteins	Host omics	test	0	1.00000	0.00000	0.48	0.00
S>=2	Plasma FullQ Metabolomics	Host omics	test	0	0.90000	0.28000	0.60	0.70
S>=2	Plasma Lipidomics	Host omics	test	0	0.71429	0.43478	0.54	0.63
S>=2	Plasma Metabolomics	Host omics	test	0	0.62069	0.88000	0.86	0.67
S>=2	Plasma Proteomics	Host omics	test	0	0.77419	0.68000	0.75	0.71
